Gene	Flowers	IL	ML	Stem	Root
CRO_T100449	14.25	11.12	9.94	10.04	9.13
CRO_T100450	0.17	0	0	0.1	0
CRO_T100451	10.32	1.5	2.75	8.02	7.15
CRO_T100452	0	1.08	2.91	3.48	1.96
CRO_T100453	68.08	2.06	2.15	27.24	9.62
CRO_T100455	49.21	1.6	1.58	18.4	11.1
CRO_T100457	8.52	4.6	5.16	3.9	6.29
CRO_T100459	0	0	0	0	0
CRO_T100460	0.18	1.49	1.21	0.06	0.24
CRO_T100463	52.89	41.76	30.45	37.54	45.79
CRO_T100464	28.2	75.46	46.63	27.7	41.45
CRO_T100467	3.76	1.48	1.21	1.73	1.33
CRO_T100469	1.65	0.5	0	0.62	0
CRO_T100470	0.99	0.68	1.31	0.3	0.44
CRO_T100471	0.92	0.85	0.93	1	0
CRO_T100472	0.63	0.88	0.84	0.3	1.12
CRO_T100473	8.15	12.5	9.12	13.93	11.76
CRO_T100474	0.32	0	0	0.11	0
CRO_T100475	0.24	0.66	0.26	0.87	0.09
CRO_T100476	22.11	35.68	32.79	26.73	25.24
CRO_T100478	3.63	4.82	5.97	4.32	1.44
CRO_T100479	1.18	1.28	0.47	0	1.8
CRO_T100480	0.99	1.51	2.06	1.55	0.84
CRO_T100482	27.7	37.18	30.02	29.46	28.72
CRO_T100483	20.03	15.41	10.04	21.86	20.18
CRO_T100484	0	0	0	0	0.47
CRO_T100485	1.9	5.19	4.08	1.94	4.73
CRO_T100486	0.35	0.16	0.22	0.48	0.63
CRO_T100488	0.61	8.56	2.06	4.68	8.11
CRO_T100489	0	0	0	0	0
CRO_T100491	3.41	0.28	0.27	4.23	0.87
CRO_T100493	11.8	0.57	0	21.51	5.81
CRO_T100494	0.16	0.19	0.18	0.22	0.34
CRO_T100495	3.78	6.37	4.34	4.05	3.84
CRO_T100496	1.24	0	0.79	1.03	1.03
CRO_T100497	0.39	0.13	0.48	0.13	0.17
CRO_T100498	0	0	0	0	0
CRO_T100499	0.14	0.09	0.16	0.05	0.16
CRO_T100500	0	0	0	0	1.17
CRO_T100501	0.17	0.16	0.41	0	0.11
CRO_T100502	0.15	0.08	0.18	0.17	0.09
CRO_T100503	30.74	13.33	8.26	47.51	81.92
CRO_T100504	12.91	6.63	5.62	11.03	17.92
CRO_T100505	414.31	245.31	232.41	695.06	505.43
CRO_T100506	10.19	3.93	5.52	3.73	8.43
CRO_T100508	35.37	33.96	22.23	52.55	17.4
CRO_T100509	323.98	107.02	142.19	120.99	262.49
CRO_T100510	56.24	58.1	42.6	62.65	45.94
CRO_T100512	2.42	1.03	0.28	1.07	1.92
CRO_T100515	15.62	12	37.12	13.61	29.3
CRO_T100517	0.59	0.57	0	0.34	0.58
CRO_T100518	3.32	1.66	3.37	4.41	2.6
CRO_T100519	2.05	0	2.07	1.47	3.32
CRO_T100521	0.28	0.16	0.16	0.04	0.06
CRO_T100522	0.25	0.26	0.16	0	0.16
CRO_T100523	49.87	87.44	79.52	59.93	72.12
CRO_T100524	73.93	111.96	108.3	114.76	105.84
CRO_T100525	0.73	1.07	0.37	1.02	0.34
CRO_T100526	0.69	0.6	0.83	0.89	0.3
CRO_T100527	142.5	117.59	104.21	253.79	201.3
CRO_T100528	19.83	55.17	43.41	16.71	27.67
CRO_T100529	128.65	317.56	278.35	61.11	28.08
CRO_T100530	53.24	71.34	57.56	98.62	59.5
CRO_T100531	0.17	0.17	0.07	0.33	0.07
CRO_T100533	38.24	30.05	29.85	37.63	31.84
CRO_T100535	1.34	0.94	0.83	1.36	0.76
CRO_T100536	0.4	3.42	1.41	3.75	0.58
CRO_T100537	0	0	0	0	0.51
CRO_T100538	0.48	0.18	0.36	0	0
CRO_T100539	0.44	0.75	0.69	0.15	0.31
CRO_T100540	1.46	1.3	1.85	2.62	0.58
CRO_T100541	0	0	0.92	0.22	1.04
CRO_T100542	0.14	0	0.08	0	0.16
CRO_T100543	0	0	0.29	1.41	0.72
CRO_T100544	0.23	0.12	0.15	0.15	0.26
CRO_T100545	0.27	0.29	0.87	0.91	0.95
CRO_T100546	0	0	0	0	0
CRO_T100547	0	0.17	0	0.19	0
CRO_T100549	179.98	141.12	229.62	304.96	431.52
CRO_T100550	9.18	9.26	22.52	22.63	41.93
CRO_T100551	0	0	0	0.44	0
CRO_T100552	0.7	0.11	0.44	0.59	0.29
CRO_T100553	87.02	109	82.89	83.38	107.46
CRO_T100554	33.5	49.59	48.2	51.25	31.94
CRO_T100555	5.96	1.58	2.26	14.81	2.99
CRO_T100556	45.17	20.84	27.38	2.45	4.95
CRO_T100557	1.05	0.13	0.87	0.14	0.61
CRO_T100559	7.84	11.56	3.24	5.64	3.41
CRO_T100560	1	0.26	0.36	0.94	0.99
CRO_T100561	0.24	0.17	0.17	0	0.31
CRO_T100563	0.41	0.1	0.23	0.11	0.1
CRO_T100564	0	0.23	0.28	0	0.24
CRO_T100566	102.15	84.56	76.53	115.76	141.01
CRO_T100568	0.18	1.07	0.61	0.21	0.19
CRO_T100569	0.47	1.21	0.5	0.22	0
CRO_T100570	0.25	1.5	1.88	0.83	0.99
CRO_T100572	0.18	2.56	0.69	4.08	0.83
CRO_T100573	0.55	0.25	0.35	0.84	0.93
CRO_T100574	0.11	0	0	0	0
CRO_T100575	1.8	8.43	10.43	2.41	13.19
CRO_T100577	0	0	0	0.1	0.23
CRO_T100578	11.42	19.21	16.38	11.5	13.66
CRO_T100579	1.99	2.99	3.95	1.69	3.18
CRO_T100580	9.86	9.48	9.94	8.56	15.1
CRO_T100581	0.34	0.17	0.21	0.18	0
CRO_T100582	0	0.36	0	0.4	0
CRO_T100583	806.63	987.61	1129.45	1229.02	1631.75
CRO_T100584	625.67	827.78	1059.2	1021.69	1303.4
CRO_T100585	86.45	43.17	53.87	96.53	98.22
CRO_T100587	1.03	0.37	0	0.41	0.31
CRO_T100588	1.67	2.38	2.95	1.92	1.49
CRO_T100589	0.73	0.68	0.32	1.91	0.73
CRO_T100590	7.09	14.13	10.04	10.27	7.98
CRO_T100591	1.64	3.17	2.6	2.15	3.63
CRO_T100592	3.1	1.83	1.67	1.48	2.22
CRO_T100593	26.58	26.94	23.04	43.95	12.82
CRO_T100594	0	0	0	0	0
CRO_T100595	0.17	0.32	0	0	0
CRO_T100596	0	0	0	0	0.36
CRO_T100600	36.71	33.73	31.12	31.35	36.85
CRO_T100601	1.96	7.58	6.62	5.31	6.35
CRO_T100602	4.54	0.42	0.94	2.04	0.22
